,White,Red,Green,Blue
Model,PR-650,PR-650,PR-650,PR-650
452,1.587e-02,1.120e-04,3.467e-04,1.819e-02
453,1.518e-02,1.037e-04,3.175e-04,1.745e-02
454,1.440e-02,9.659e-05,2.820e-04,1.660e-02
455,1.358e-02,9.033e-05,2.475e-04,1.569e-02
456,1.275e-02,8.423e-05,2.210e-04,1.475e-02
457,1.193e-02,7.854e-05,2.038e-04,1.381e-02
458,1.114e-02,7.347e-05,1.965e-04,1.290e-02
459,1.039e-02,6.790e-05,1.963e-04,1.201e-02
460,9.681e-03,6.079e-05,2.003e-04,1.117e-02
461,9.020e-03,5.211e-05,2.088e-04,1.038e-02
462,8.415e-03,4.198e-05,2.222e-04,9.644e-03
463,7.854e-03,3.243e-05,2.407e-04,8.958e-03
464,7.326e-03,2.552e-05,2.646e-04,8.307e-03
465,6.830e-03,2.133e-05,2.934e-04,7.692e-03
466,6.367e-03,1.978e-05,3.265e-04,7.114e-03
467,5.930e-03,1.959e-05,3.644e-04,6.564e-03
468,5.515e-03,1.935e-05,4.074e-04,6.034e-03
469,5.120e-03,1.903e-05,4.547e-04,5.522e-03
470,4.743e-03,1.861e-05,5.056e-04,5.029e-03
471,4.388e-03,1.811e-05,5.567e-04,4.556e-03
472,4.056e-03,1.761e-05,6.049e-04,4.107e-03
473,3.747e-03,1.701e-05,6.492e-04,3.680e-03
474,3.460e-03,1.626e-05,6.889e-04,3.277e-03
475,3.200e-03,1.518e-05,7.234e-04,2.911e-03
476,2.971e-03,1.365e-05,7.520e-04,2.599e-03
477,2.773e-03,1.165e-05,7.744e-04,2.340e-03
478,2.605e-03,9.198e-06,7.904e-04,2.133e-03
479,2.456e-03,6.965e-06,7.990e-04,1.959e-03
480,2.315e-03,5.595e-06,7.999e-04,1.798e-03
481,2.181e-03,5.103e-06,7.932e-04,1.648e-03
482,2.053e-03,5.448e-06,7.796e-04,1.508e-03
483,1.930e-03,6.230e-06,7.614e-04,1.378e-03
484,1.813e-03,7.006e-06,7.413e-04,1.262e-03
485,1.701e-03,7.794e-06,7.201e-04,1.157e-03
486,1.593e-03,8.617e-06,6.986e-04,1.061e-03
487,1.493e-03,8.971e-06,6.779e-04,9.739e-04
488,1.405e-03,8.413e-06,6.592e-04,8.968e-04
489,1.330e-03,6.872e-06,6.435e-04,8.286e-04
490,1.269e-03,4.345e-06,6.315e-04,7.690e-04
491,1.218e-03,2.036e-06,6.232e-04,7.177e-04
492,1.176e-03,1.122e-06,6.182e-04,6.748e-04
493,1.142e-03,1.697e-06,6.172e-04,6.399e-04
494,1.117e-03,3.766e-06,6.209e-04,6.125e-04
495,1.108e-03,5.900e-06,6.312e-04,5.926e-04
496,1.122e-03,6.682e-06,6.502e-04,5.798e-04
497,1.160e-03,6.051e-06,6.783e-04,5.738e-04
498,1.221e-03,4.041e-06,7.159e-04,5.742e-04
499,1.293e-03,2.306e-06,7.623e-04,5.794e-04
500,1.365e-03,2.484e-06,8.169e-04,5.880e-04
501,1.436e-03,4.602e-06,8.800e-04,5.995e-04
502,1.507e-03,8.563e-06,9.523e-04,6.134e-04
503,1.587e-03,1.260e-05,1.033e-03,6.306e-04
504,1.689e-03,1.495e-05,1.122e-03,6.517e-04
505,1.812e-03,1.556e-05,1.219e-03,6.763e-04
506,1.955e-03,1.451e-05,1.326e-03,7.039e-04
507,2.115e-03,1.293e-05,1.444e-03,7.339e-04
508,2.286e-03,1.201e-05,1.577e-03,7.658e-04
509,2.469e-03,1.175e-05,1.726e-03,7.992e-04
510,2.665e-03,1.211e-05,1.890e-03,8.337e-04
511,2.873e-03,1.284e-05,2.068e-03,8.677e-04
512,3.093e-03,1.365e-05,2.258e-03,8.995e-04
513,3.325e-03,1.456e-05,2.461e-03,9.286e-04
514,3.569e-03,1.559e-05,2.677e-03,9.547e-04
515,3.825e-03,1.667e-05,2.904e-03,9.801e-04
516,4.095e-03,1.776e-05,3.141e-03,1.007e-03
517,4.378e-03,1.885e-05,3.388e-03,1.035e-03
518,4.673e-03,1.994e-05,3.644e-03,1.065e-03
519,4.980e-03,2.071e-05,3.916e-03,1.091e-03
520,5.300e-03,2.087e-05,4.211e-03,1.111e-03
521,5.631e-03,2.040e-05,4.528e-03,1.124e-03
522,5.970e-03,1.935e-05,4.866e-03,1.130e-03
523,6.315e-03,1.851e-05,5.213e-03,1.132e-03
524,6.662e-03,1.865e-05,5.559e-03,1.132e-03
525,7.009e-03,1.981e-05,5.902e-03,1.130e-03
526,7.353e-03,2.194e-05,6.238e-03,1.127e-03
527,7.686e-03,2.462e-05,6.565e-03,1.121e-03
528,8.001e-03,2.738e-05,6.878e-03,1.114e-03
529,8.294e-03,3.016e-05,7.175e-03,1.105e-03
530,8.563e-03,3.293e-05,7.452e-03,1.094e-03
531,8.805e-03,3.551e-05,7.707e-03,1.078e-03
532,9.017e-03,3.776e-05,7.935e-03,1.054e-03
533,9.197e-03,3.962e-05,8.134e-03,1.021e-03
534,9.344e-03,4.105e-05,8.303e-03,9.806e-04
535,9.460e-03,4.182e-05,8.445e-03,9.372e-04
536,9.547e-03,4.170e-05,8.562e-03,8.967e-04
537,9.605e-03,4.073e-05,8.654e-03,8.596e-04
538,9.632e-03,3.896e-05,8.720e-03,8.259e-04
539,9.627e-03,3.683e-05,8.754e-03,7.913e-04
540,9.585e-03,3.479e-05,8.752e-03,7.513e-04
541,9.508e-03,3.285e-05,8.714e-03,7.063e-04
542,9.397e-03,3.102e-05,8.642e-03,6.569e-04
543,9.249e-03,2.984e-05,8.534e-03,6.057e-04
544,9.062e-03,2.977e-05,8.390e-03,5.558e-04
545,8.837e-03,3.087e-05,8.210e-03,5.074e-04
546,8.577e-03,3.312e-05,7.998e-03,4.607e-04
547,8.298e-03,3.514e-05,7.767e-03,4.165e-04
548,8.017e-03,3.556e-05,7.529e-03,3.752e-04
549,7.736e-03,3.432e-05,7.288e-03,3.372e-04
550,7.459e-03,3.147e-05,7.046e-03,3.028e-04
551,7.181e-03,2.815e-05,6.801e-03,2.718e-04
552,6.897e-03,2.552e-05,6.549e-03,2.442e-04
553,6.610e-03,2.365e-05,6.293e-03,2.200e-04
554,6.323e-03,2.257e-05,6.036e-03,1.992e-04
555,6.038e-03,2.184e-05,5.778e-03,1.802e-04
556,5.758e-03,2.099e-05,5.522e-03,1.614e-04
557,5.485e-03,2.005e-05,5.269e-03,1.427e-04
558,5.218e-03,1.904e-05,5.020e-03,1.240e-04
559,4.958e-03,1.874e-05,4.776e-03,1.067e-04
560,4.704e-03,1.988e-05,4.535e-03,9.236e-05
561,4.456e-03,2.248e-05,4.300e-03,8.091e-05
562,4.214e-03,2.648e-05,4.071e-03,7.219e-05
563,3.979e-03,3.048e-05,3.846e-03,6.502e-05
564,3.749e-03,3.310e-05,3.623e-03,5.819e-05
565,3.525e-03,3.434e-05,3.402e-03,5.162e-05
566,3.306e-03,3.436e-05,3.185e-03,4.528e-05
567,3.098e-03,3.401e-05,2.979e-03,3.964e-05
568,2.904e-03,3.428e-05,2.791e-03,3.520e-05
569,2.724e-03,3.533e-05,2.623e-03,3.193e-05
570,2.559e-03,3.738e-05,2.474e-03,2.977e-05
571,2.407e-03,4.075e-05,2.337e-03,2.813e-05
572,2.267e-03,4.578e-05,2.205e-03,2.646e-05
573,2.139e-03,5.291e-05,2.077e-03,2.460e-05
574,2.024e-03,6.258e-05,1.953e-03,2.244e-05
575,1.920e-03,7.464e-05,1.836e-03,2.150e-05
576,1.827e-03,8.900e-05,1.729e-03,2.318e-05
577,1.745e-03,1.061e-04,1.631e-03,2.744e-05
578,1.674e-03,1.264e-04,1.542e-03,3.406e-05
579,1.612e-03,1.518e-04,1.458e-03,4.017e-05
580,1.559e-03,1.841e-04,1.378e-03,4.293e-05
581,1.513e-03,2.236e-04,1.300e-03,4.225e-05
582,1.476e-03,2.707e-04,1.225e-03,3.825e-05
583,1.447e-03,3.254e-04,1.153e-03,3.236e-05
584,1.431e-03,3.877e-04,1.085e-03,2.617e-05
585,1.426e-03,4.577e-04,1.021e-03,1.968e-05
586,1.433e-03,5.355e-04,9.599e-04,1.290e-05
587,1.449e-03,6.203e-04,9.034e-04,7.279e-06
588,1.473e-03,7.116e-04,8.516e-04,4.097e-06
589,1.505e-03,8.091e-04,8.046e-04,3.592e-06
590,1.545e-03,9.127e-04,7.620e-04,5.816e-06
591,1.591e-03,1.021e-03,7.232e-04,8.660e-06
592,1.644e-03,1.134e-03,6.871e-04,9.994e-06
593,1.702e-03,1.251e-03,6.536e-04,9.694e-06
594,1.766e-03,1.371e-03,6.226e-04,7.756e-06
595,1.837e-03,1.496e-03,5.931e-04,5.857e-06
596,1.915e-03,1.626e-03,5.645e-04,5.690e-06
597,2.001e-03,1.761e-03,5.364e-04,7.225e-06
598,2.096e-03,1.902e-03,5.087e-04,1.033e-05
599,2.195e-03,2.048e-03,4.823e-04,1.328e-05
600,2.295e-03,2.198e-03,4.583e-04,1.435e-05
601,2.395e-03,2.353e-03,4.366e-04,1.352e-05
602,2.496e-03,2.512e-03,4.172e-04,1.091e-05
603,2.608e-03,2.680e-03,3.987e-04,7.714e-06
604,2.739e-03,2.858e-03,3.798e-04,5.192e-06
605,2.889e-03,3.047e-03,3.604e-04,3.357e-06
606,3.058e-03,3.247e-03,3.406e-04,2.181e-06
607,3.238e-03,3.457e-03,3.219e-04,1.760e-06
608,3.421e-03,3.678e-03,3.057e-04,2.117e-06
609,3.607e-03,3.909e-03,2.921e-04,3.293e-06
610,3.796e-03,4.148e-03,2.810e-04,5.272e-06
611,3.981e-03,4.390e-03,2.710e-04,7.434e-06
612,4.157e-03,4.627e-03,2.607e-04,9.146e-06
613,4.322e-03,4.858e-03,2.500e-04,1.039e-05
614,4.476e-03,5.081e-03,2.390e-04,1.117e-05
615,4.629e-03,5.302e-03,2.282e-04,1.133e-05
616,4.791e-03,5.525e-03,2.181e-04,1.074e-05
617,4.963e-03,5.749e-03,2.088e-04,9.429e-06
618,5.143e-03,5.973e-03,2.002e-04,7.481e-06
619,5.320e-03,6.187e-03,1.921e-04,5.769e-06
620,5.482e-03,6.384e-03,1.844e-04,5.173e-06
621,5.629e-03,6.562e-03,1.771e-04,5.661e-06
622,5.759e-03,6.719e-03,1.703e-04,7.121e-06
623,5.877e-03,6.863e-03,1.640e-04,1.005e-05
624,5.990e-03,7.000e-03,1.584e-04,1.477e-05
625,6.096e-03,7.130e-03,1.534e-04,2.141e-05
626,6.193e-03,7.251e-03,1.490e-04,2.998e-05
627,6.274e-03,7.355e-03,1.451e-04,3.717e-05
628,6.332e-03,7.431e-03,1.417e-04,3.987e-05
629,6.366e-03,7.480e-03,1.389e-04,3.779e-05
630,6.377e-03,7.501e-03,1.366e-04,3.094e-05
631,6.368e-03,7.499e-03,1.337e-04,2.438e-05
632,6.345e-03,7.479e-03,1.293e-04,2.313e-05
633,6.308e-03,7.441e-03,1.232e-04,2.728e-05
634,6.257e-03,7.384e-03,1.153e-04,3.654e-05
635,6.193e-03,7.311e-03,1.081e-04,4.609e-05
636,6.114e-03,7.221e-03,1.042e-04,5.099e-05
637,6.022e-03,7.116e-03,1.036e-04,5.133e-05
638,5.918e-03,6.996e-03,1.062e-04,4.748e-05
639,5.803e-03,6.864e-03,1.087e-04,4.075e-05
640,5.682e-03,6.721e-03,1.076e-04,3.276e-05
641,5.555e-03,6.570e-03,1.028e-04,2.336e-05
642,5.422e-03,6.411e-03,9.444e-05,1.250e-05
643,5.281e-03,6.241e-03,8.593e-05,4.304e-06
644,5.126e-03,6.054e-03,8.070e-05,2.593e-06
645,4.959e-03,5.852e-03,7.878e-05,7.720e-06
646,4.781e-03,5.637e-03,7.999e-05,1.958e-05
647,4.603e-03,5.422e-03,8.235e-05,3.202e-05
648,4.436e-03,5.221e-03,8.374e-05,3.889e-05
649,4.281e-03,5.035e-03,8.419e-05,3.994e-05
650,4.139e-03,4.864e-03,8.377e-05,3.533e-05
651,4.005e-03,4.703e-03,8.246e-05,2.896e-05
652,3.871e-03,4.544e-03,8.038e-05,2.495e-05
653,3.739e-03,4.389e-03,7.742e-05,2.332e-05
654,3.608e-03,4.237e-03,7.357e-05,2.398e-05
655,3.482e-03,4.091e-03,6.960e-05,2.550e-05
656,3.364e-03,3.952e-03,6.629e-05,2.638e-05
657,3.253e-03,3.821e-03,6.375e-05,2.655e-05
658,3.150e-03,3.697e-03,6.205e-05,2.595e-05
659,3.049e-03,3.576e-03,6.072e-05,2.690e-05
660,2.945e-03,3.452e-03,5.930e-05,3.150e-05
661,2.838e-03,3.326e-03,5.778e-05,3.982e-05
662,2.729e-03,3.197e-03,5.618e-05,5.167e-05
663,2.623e-03,3.072e-03,5.532e-05,6.141e-05
664,2.526e-03,2.956e-03,5.600e-05,6.357e-05
665,2.438e-03,2.849e-03,5.819e-05,5.805e-05
666,2.359e-03,2.752e-03,6.178e-05,4.525e-05
667,2.287e-03,2.661e-03,6.545e-05,3.055e-05
668,2.216e-03,2.575e-03,6.787e-05,1.950e-05
669,2.148e-03,2.493e-03,6.904e-05,1.212e-05
670,2.082e-03,2.415e-03,6.908e-05,8.170e-06
