seconds,APL',R,G,B
177,15.0,4.1,3.2,3.0
178,11.2,2.2,1.7,1.3
179,11.0,2.3,1.7,1.2
180,11.8,2.4,1.8,1.2
181,9.3,3.1,1.4,1.4
182,9.9,2.4,1.0,1.0
183,14.8,3.9,2.4,2.8
184,10.2,0.8,1.1,0.3
185,8.9,0.7,0.9,0.3
186,9.8,2.3,1.7,0.7
187,10.2,0.7,1.7,0.4
188,8.1,0.3,0.3,1.1
189,3.6,0.9,1.6,2.9
190,8.8,1.6,2.0,3.0
191,6.8,1.0,0.8,0.7
192,6.9,1.0,0.8,1.3
193,6.9,1.0,0.8,1.3
194,6.7,0.9,1.6,1.6
195,4.3,0.6,0.6,0.8
196,5.7,1.0,0.7,0.7
197,4.8,0.2,0.1,0.3
198,29.4,8.4,7.7,4.4
199,30.4,9.6,8.3,4.7
200,27.9,9.6,7.7,4.1
201,30.5,11.6,9.1,4.7
202,36.8,15.2,12.1,7.3
203,30.4,11.6,8.6,3.9
204,37.3,15.3,11.9,7.6
205,32.2,10.2,8.3,5.9
206,11.2,2.4,1.8,1.6
207,14.6,3.5,2.6,2.3
208,6.4,0.7,0.6,0.5
209,24.6,23.2,7.4,4.7
210,29.7,31.2,9.6,5.7
211,21.5,4.4,4.8,2.0
212,24.4,5.5,6.2,2.8
213,26.1,7.1,7.4,3.3
214,17.3,7.2,3.4,2.9
215,26.2,13.7,6.8,5.1
216,20.5,7.6,5.7,4.6
217,9.1,2.1,0.5,0.7
218,4.7,0.6,0.2,0.2
219,3.0,0.4,0.3,0.4
220,28.2,6.5,10.9,11.7
221,28.5,11.9,10.7,9.9
222,31.3,14.8,13.3,12.6
223,33.4,16.9,15.0,14.5
224,34.7,17.7,15.6,15.1
225,35.7,18.2,16.0,15.4
226,36.7,18.7,16.5,15.8
227,37.5,15.8,12.0,6.4
228,42.3,21.7,14.9,7.1
229,46.1,32.5,19.5,6.9
230,24.1,14.6,6.1,5.7
231,42.6,13.2,14.6,16.2
232,44.0,13.7,15.7,18.7
233,49.6,16.2,20.0,24.7
234,28.8,22.7,12.2,18.5
235,28.3,22.6,12.2,18.8
236,24.8,20.3,8.7,16.6
237,21.8,18.3,6.4,13.3
238,81.9,67.5,71.9,77.4
239,9.0,2.5,2.6,2.3
240,12.9,4.3,4.1,3.5
241,67.7,48.2,44.2,40.5
242,60.2,39.3,36.6,29.8
243,60.5,39.7,36.9,30.7
244,65.0,45.1,41.6,36.8
245,69.8,50.2,46.2,43.4
246,70.3,50.8,47.0,43.9
247,29.2,8.0,12.4,14.7
248,25.0,7.2,10.2,11.0
249,61.3,40.9,42.2,41.8
250,59.6,39.1,39.8,40.0
251,56.3,34.6,35.5,35.0
252,51.3,28.9,29.3,27.7
253,28.4,9.6,8.6,7.9
254,26.8,8.6,7.9,7.1
255,33.5,15.6,13.8,13.2
256,33.1,17.0,15.5,14.9
257,26.6,12.8,12.5,11.3
258,24.2,11.0,11.7,9.9
259,37.3,14.7,14.1,15.7
260,38.0,14.9,14.4,15.8
261,36.0,13.9,13.4,14.3
262,38.8,22.3,17.8,17.7
263,32.1,11.2,11.1,12.6
264,31.8,10.8,10.7,12.1
265,32.8,11.2,11.3,12.8
266,19.4,10.4,10.8,10.8
267,18.1,9.9,8.9,9.7
268,14.5,8.9,4.4,5.5
269,21.3,9.3,7.0,6.4
270,20.4,19.4,2.4,0.4
271,32.9,13.8,10.8,10.5
272,29.8,8.2,12.3,19.1
273,24.6,14.1,5.8,2.9
274,30.8,21.8,9.4,3.4
275,14.8,1.7,2.1,2.2
276,11.8,0.8,1.0,0.9
277,18.8,3.8,4.2,4.1
278,18.5,4.6,5.1,5.1
279,12.2,0.9,1.2,1.1
280,21.8,5.4,5.9,5.9
281,20.1,5.3,5.9,6.1
282,5.4,2.0,2.0,3.0
283,11.7,3.1,5.1,7.4
284,25.1,6.6,4.6,6.8
285,20.9,5.7,1.9,14.7
286,24.2,7.6,3.3,16.4
287,26.6,18.0,7.5,4.7
288,28.4,12.2,11.3,11.9
289,41.0,22.9,19.6,20.4
290,39.1,21.1,18.5,19.5
291,40.4,19.6,17.5,18.7
292,18.7,6.7,6.9,7.6
293,18.5,8.0,7.5,9.2
294,17.4,7.7,7.1,7.9
295,20.1,8.6,8.0,9.7
296,22.6,8.9,9.1,11.5
297,29.2,14.9,9.6,8.2
298,21.8,4.0,4.1,3.9
299,25.5,6.2,6.3,6.1
300,31.6,8.2,8.3,8.0
301,36.7,13.3,12.8,16.3
302,29.0,6.5,5.7,6.5
303,30.6,12.4,9.3,9.4
304,24.6,15.3,11.4,10.1
305,20.5,9.7,6.8,7.3
306,36.7,25.5,23.5,24.6
307,21.4,8.0,5.9,7.4
308,29.1,15.6,10.7,13.0
309,20.6,7.1,6.3,10.3
310,24.5,13.5,8.5,12.8
311,53.8,39.4,36.8,34.2
312,39.9,14.5,16.1,21.9
313,29.5,10.8,11.0,7.4
314,54.1,21.2,25.3,32.6
315,49.9,17.7,22.4,27.7
316,31.8,7.4,9.9,10.1
317,41.7,29.5,20.8,7.6
318,37.8,25.3,18.3,6.7
319,30.2,19.2,13.2,4.9
320,24.5,14.4,9.7,3.6
321,5.7,0.8,0.7,0.7
322,2.7,0.1,0.1,0.2
323,30.3,12.2,8.6,6.8
324,32.4,16.9,17.0,16.5
325,25.3,15.8,12.8,12.3
326,95.3,88.6,90.1,90.1
327,84.0,67.0,69.4,71.6
328,71.4,53.7,56.2,61.7
329,51.5,29.9,29.8,29.5
330,39.3,17.5,18.8,19.4
331,52.9,32.4,31.4,30.9
332,18.1,10.3,7.6,3.3
333,40.8,17.7,21.5,19.7
334,37.6,12.8,18.2,18.7
335,25.7,5.5,7.5,7.9
336,33.4,8.9,12.0,11.6
337,27.2,12.7,12.1,10.5
338,62.7,36.8,37.0,42.6
339,61.2,36.3,36.0,42.0
340,44.3,16.5,23.9,28.6
341,47.7,19.3,27.0,30.5
342,45.8,18.2,24.7,26.4
343,40.5,14.3,20.2,22.0
344,31.1,8.7,11.6,11.5
345,24.9,4.3,4.8,4.4
346,27.5,5.4,6.1,5.1
347,28.9,6.1,6.8,5.2
348,29.4,6.4,7.1,5.6
349,42.8,23.0,22.0,21.9
350,50.5,30.8,29.8,32.2
351,58.3,35.6,35.3,37.9
352,36.4,10.8,12.7,25.3
353,21.5,4.8,5.6,10.5
354,18.6,9.7,10.1,11.1
355,24.0,14.0,14.2,16.1
356,40.7,27.9,27.6,32.0
357,42.5,30.2,30.2,34.4
358,24.6,7.8,2.7,2.5
359,42.8,22.6,10.9,10.5
360,59.3,34.0,29.4,28.7
361,41.8,19.5,15.3,13.1
362,28.9,10.5,8.6,8.0
363,24.8,6.8,6.3,7.0
364,34.4,15.8,14.7,12.3
365,44.1,25.7,22.6,24.3
366,28.2,10.8,8.2,6.9
367,32.0,14.7,10.2,9.5
368,34.0,17.3,15.2,15.2
369,32.9,14.6,13.7,14.4
370,38.2,20.3,18.1,20.1
371,50.1,22.3,19.2,18.9
372,26.2,10.2,5.8,5.2
373,48.3,26.2,23.7,22.0
374,37.8,18.4,14.7,9.4
375,19.8,7.2,4.7,4.9
376,36.7,19.9,18.0,18.5
377,25.3,11.8,8.9,8.6
378,47.8,25.2,22.4,23.6
379,36.4,23.9,10.0,9.1
380,28.3,13.9,6.1,5.4
381,0.0,0.0,0.0,0.0
382,17.5,4.9,2.9,2.9
383,51.6,32.7,30.2,29.8
384,37.5,12.9,11.9,9.1
385,38.1,19.2,18.4,17.0
386,49.6,28.1,26.1,24.7
387,15.3,6.9,5.4,6.0
388,49.7,28.0,32.0,23.9
389,51.7,30.1,34.2,25.9
390,54.7,33.4,37.4,29.0
391,60.6,40.5,44.6,36.6
392,67.3,49.5,53.7,46.9
393,80.7,65.5,71.1,67.5
394,88.6,74.6,80.8,78.6
395,84.2,67.3,73.3,73.0
396,81.9,63.0,71.0,72.8
397,76.5,55.4,63.4,65.4
398,82.6,72.2,62.7,73.4
399,80.3,73.1,56.4,67.7
400,64.1,58.5,36.0,50.1
401,61.3,56.3,30.9,46.0
402,31.7,7.5,11.5,35.2
403,62.7,39.1,41.7,49.9
404,73.7,52.5,54.1,57.1
405,66.9,27.8,44.6,65.8
406,64.3,44.0,40.6,35.7
407,69.5,49.5,45.5,42.7
408,64.9,37.6,38.9,38.5
409,65.1,38.4,39.8,39.7
410,63.1,40.4,37.6,34.6
411,63.6,43.0,39.2,36.3
412,63.2,42.4,39.7,35.0
413,61.0,40.3,41.4,39.6
414,65.2,45.8,46.5,46.0
415,64.3,44.7,45.6,45.3
416,62.2,35.9,36.5,35.4
417,60.5,43.5,43.0,41.5
418,58.5,37.0,33.5,29.7
419,60.4,35.5,38.5,30.0
420,60.3,35.2,38.3,29.9
421,58.1,25.1,32.6,45.7
422,60.1,27.0,34.6,47.9
423,60.8,27.4,35.3,48.5
424,57.7,54.0,43.2,15.4
425,56.0,53.2,40.7,13.0
426,54.7,22.5,28.9,21.3
427,57.9,25.5,32.5,24.1
428,54.7,32.1,32.4,30.7
429,56.8,34.0,33.7,31.9
430,58.8,36.3,34.7,32.2
