seconds,APL',R,G,B
177,45.2,64.4,69.6,92.2
178,45.5,65.5,70.6,93.2
179,39.4,42.9,49.5,68.8
180,39.4,43.1,49.7,69.0
181,39.6,44.0,50.5,69.9
182,39.9,45.4,52.0,71.4
183,38.5,45.6,47.4,57.1
184,38.8,45.6,47.3,57.0
185,39.9,47.1,49.1,59.9
186,41.9,56.8,59.9,75.0
187,42.4,57.0,60.2,75.3
188,41.7,56.6,59.6,74.7
189,30.4,31.4,33.0,42.7
190,31.5,34.6,36.2,46.1
191,34.2,38.3,44.9,73.7
192,34.2,38.3,44.9,73.7
193,34.1,38.2,44.8,73.5
194,34.3,38.2,44.9,73.5
195,24.6,26.1,19.6,15.7
196,21.9,20.7,17.3,11.5
197,26.1,26.0,19.7,18.9
198,31.2,31.0,24.3,21.9
199,31.1,30.9,24.2,21.9
200,33.2,46.5,36.0,29.8
201,33.2,46.4,36.0,29.7
202,32.5,38.2,29.2,17.8
203,32.6,38.2,29.2,17.8
204,32.6,38.3,29.3,17.9
205,32.6,38.4,29.4,17.9
206,45.4,79.9,64.4,61.9
207,45.3,79.8,64.4,61.8
208,45.3,79.6,64.3,61.9
209,45.3,79.7,64.4,61.9
210,45.2,80.7,64.6,61.9
211,44.4,74.2,47.7,22.8
212,44.4,73.8,47.4,22.8
213,31.1,36.0,23.4,15.8
214,33.0,41.2,26.1,16.8
215,44.2,67.9,57.1,41.0
216,46.8,75.1,52.7,40.6
217,50.0,88.8,66.9,58.8
218,42.4,68.1,48.8,69.4
219,38.2,66.9,46.8,35.9
220,35.1,52.5,32.1,21.8
221,26.6,32.4,27.7,33.5
222,26.5,32.1,27.5,33.5
223,26.1,30.3,26.2,32.4
224,31.8,39.6,39.9,36.8
225,26.6,30.4,26.0,32.2
226,26.7,31.2,27.0,33.9
227,26.0,28.8,24.9,32.4
228,25.8,27.9,24.0,31.3
229,25.4,27.0,23.0,30.4
230,30.1,35.4,31.9,32.0
231,30.7,36.9,35.7,38.1
232,25.4,26.0,22.6,30.1
233,33.0,50.2,43.3,31.8
234,34.1,53.1,46.3,33.0
235,25.9,28.2,24.4,32.3
236,32.0,36.5,31.6,27.0
237,25.9,27.5,24.7,32.0
238,26.7,32.0,27.4,33.6
239,40.4,75.3,61.8,41.0
240,25.0,25.9,22.7,30.1
